FID,Name,Address,City,ZipCode,Menu_Item1,Menu_Item2,geom
HH_Restaurants.67,Panera Bread,6434 Dobbin Rd,Columbia,21045,BBQ Chopped Chicken Salad (w/ Dressing on the Side) w/ Whole Grain Baguette and You Pick Two: Half Mediterranean Veggie Sandwich and Half Classic Caf√© Salad w/ Baked Lays,You Pick Two: Half Smoked Turkey Sandwich and Half Classic Caf√© Salad w/ Apple,POINT (1363571.7830134567 556565.4748752626)
HH_Restaurants.68,Panera Bread,10300 Little Patuxent Pkwy,Columbia,21044,BBQ Chopped Chicken Salad (w/ Dressing on the Side) w/ Whole Grain Baguette and You Pick Two: Half Mediterranean Veggie Sandwich and Half Classic Caf√© Salad w/ Baked Lays,You Pick Two: Half Smoked Turkey Sandwich and Half Classic Caf√© Salad w/ Apple,POINT (1351893.0243727134 564206.055049025)
HH_Restaurants.69,Pasta Blitz,6010 University Blvd,Ellicott City,21043,Chicken Sorrento w/ Broccoli and Spaghetti Contadina w/ Chicken,Shrimp Marinara w/ Broccoli and Garden Salad w/ Shrimp (Dressing on the Side) and One Piece of Garlic Bread,POINT (1369807.868444278 561843.378228911)
HH_Restaurants.70,Pei Wei Asian Diner,"6478 Dobbin Center Way, Suite A",Columbia,21045,Honey Seared Shrimp (Stock-Velveted) w/ Rice on the Side,Sweet & Sour Chicken (Stock-Velveted) w/ Rice on the Side,POINT (1363594.0254807358 557976.40822715)
HH_Restaurants.71,Peking Chinese Restaurant,"7060 Oakland Mills Road, Unit A",Columbia,21046,"Lunch (Healthful Choices): Chicken w/ Mushrooms and Broccoli, Chicken w/ Broccoli, Chicken w/ Vegetables, Shrimp w/ Snow Peas","Lunch (Healthful Choices): Shrimp w/ Vegetables, Shrimp w/ Broccoli, Vegetables Delight w/ Tofu, Mushroom and Broccoli w/ Tofu",POINT (1360648.9472148088 549673.8219878533)
HH_Restaurants.72,Philly‚??s Best Pizza and Subs,"6501 Huntshire Dr, Ste 110",Elkridge,21075,Lite Bruschetta Wrap,Lite Tuna Wrap and Chicken Caesar Salad w/ Dressing on the Side,POINT (1376535.3368035017 555837.61940002)
HH_Restaurants.73,Philly‚??s Best Pizza and Subs,5134 Thunder Hill Rd,Columbia,21045,Lite Bruschetta Wrap,Lite Tuna Wrap and Chicken Caesar Salad w/ Dressing on the Side,POINT (1360293.3604024139 569096.7638736276)
HH_Restaurants.74,Pizza Boli's,9065-C Frederick Rd,Ellicott City,21042,"Half (8‚??‚??) Sliced Turkey Breast w/ Lettuce, Tomato, Onion, and Mustard",Small Tuna Salad w/ Choice of Dressing on the Side and Chicken Gyro,POINT (1361584.5941606655 584386.4114783878)
HH_Restaurants.75,Pizza Boli's,10451 Twin Rivers Rd,Columbia,21044,"Half (8‚??‚??) Sliced Turkey Breast w/ Lettuce, Tomato, Onion, and Mustard",Small Tuna Salad w/ Choice of Dressing on the Side and Chicken Gyro,POINT (1347846.358648481 565651.2300939572)
HH_Restaurants.76,Qdoba,9050 Baltimore National Pk,Ellicott City,21042,"Naked Grilled Veggie Burrito with Black Beans, Ranchera Sauce, Pico de Gallo, Roasted Chile Corn, Lettuce, Sour Cream, and Grilled Veggies","Naked Taco Salad with Pulled Pork, Lettuce, Black Bean and Corn Salsa, and Fat-Free Picante Ranch and *KID‚??S MENU ITEM*: Lil‚?? Naked Burrito (w/ Black Beans, Rice, Lettuce, Pico de Gallo) w/ Applesauce and Plain Low-Fat 1% Milk",POINT (1361978.8126267504 586689.3848337095)
HH_Restaurants.77,Qdoba,6476 Dobbin Centre Way,Columbia,21045,"Naked Grilled Veggie Burrito with Black Beans, Ranchera Sauce, Pico de Gallo, Roasted Chile Corn, Lettuce, Sour Cream, and Grilled Veggies","Naked Taco Salad with Pulled Pork, Lettuce, Black Bean and Corn Salsa, and Fat-Free Picante Ranch and *KID‚??S MENU ITEM*: Lil‚?? Naked Burrito (w/ Black Beans, Rice, Lettuce, Pico de Gallo) w/ Applesauce and Plain Low-Fat 1% Milk",POINT (1363366.332855185 558202.6375324812)
HH_Restaurants.78,Quiznos Subs,6500 Washington Blvd,Elkridge,21075,Small Honey Bourbon Chicken on Wheat w/ Baked Lays and Roadhouse Steak Sammie,Cantina Chicken Sammie w/ Baked Lays and Small Harvest Chicken on Wheat,POINT (1387540.0901529389 559311.8342559108)
HH_Restaurants.79,Ranazul,8171 Maple Lawn Blvd,Fulton,20759,Artichoke Salad w/ Chicken (No Manchego Cheese),Ceviche w/ Round Crackers,POINT (1339134.6280768972 539600.6182876702)
HH_Restaurants.80,Red Robin,8640 Snowden River Pkwy,Columbia,21045,Simply Grilled Chicken Sandwich w/ Melon Wedges,Simply Grilled Chicken Salad w/o Cheese (w/ Dressing on the Side),POINT (1366297.6559110866 557441.7110203675)
HH_Restaurants.81,River Hill Sports Grille,6040 Daybreak Cir,Clarksville,21029,Seared Ahi Tuna Salad w/ Toasted Baguette and Dressing on the Side and Turkey Burger w/ Grilled Vegetables,Garden Burger w/ Fruit and Imperial Tilapia w/ Steamed Broccoli and Imperial Sauce on the Side,POINT (1330713.512900134 562564.5024311601)
HH_Restaurants.82,Sakura Japanese Steakhouse,10040 Baltimore National Pk,Ellicott City,21042,Sashimi Regular w/o Miso Soup and Tofu Dinner Entr√©e w/o Shoyu Onion Soup,Shrimp & Scallops Entr√©e w/o Shoyu Onion Soup,POINT (1352715.7029979273 588049.3946420924)
HH_Restaurants.83,Shanty Grille,3410 Plumtree Drive,Ellicott City,21042,Chopped House Salad with Grilled Chicken and French Dressing,Honolulu Ahi Bowl with Artisan Bread (No Fried Tortilla Shell) and Grilled Avocado Salad with Artisan Bread and Vinaigrette on the Side,POINT (1358717.9498582936 586524.6149774356)
HH_Restaurants.84,Smoothie King,"8874 McGaw Rd, Suite C",Columbia,21045,20 oz. Chocolate Gladiator with Black Cherry,20 oz. Vanilla Gladiator with Banana,POINT (1363294.6301646214 554227.3818347799)
HH_Restaurants.85,Stella Notte,8809 Baltimore National Pk,Ellicott City,21043,Ginger and Shrimp Scampi (Lunch Portion) and Chicken Piccata,Large Stella Notte House Salad w/ Shrimp (Dressing on the Side),POINT (1364222.6678453565 587072.4820661523)
HH_Restaurants.86,Subway,7401 Assateague Dr,Jessup,20794,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1373889.361189643 546347.6951377814)
HH_Restaurants.87,Subway,8300 Baltimore National Pk,Ellicott City,21043,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1369080.8909611676 591091.9300343739)
HH_Restaurants.88,Subway,9275 Baltimore National Pk,Ellicott City,21042,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1360053.6685510988 586474.8620901047)
HH_Restaurants.89,Subway,10795 Birmingham Way,Woodstock,21163,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1343488.2983823637 597519.1250853599)
HH_Restaurants.90,Subway,6790 Business Pkwy,Elkridge,21075,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1378342.8299338173 552127.8099894138)
HH_Restaurants.91,Subway,8765 Centre Park Dr,Columbia,21045,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1364057.6053250378 568245.6968362223)
HH_Restaurants.92,Subway,"13380 Clarksville Pk, Unit B",Highland,20777,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1324390.213584462 551044.0750377411)
HH_Restaurants.93,Subway,7248 Cradlerock Way,Columbia,21045,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1356059.6823546253 553436.3109262149)
HH_Restaurants.94,Subway,"6030 Daybreak Cir, Unit A450",Clarksville,21029,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1330669.027965578 562295.5441755349)
HH_Restaurants.95,Subway,4725 Dorsey Hall Dr #E,Ellicott City,21042,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1356993.8659802675 573988.0580262985)
HH_Restaurants.96,Subway,6420 Freetown Rd,Columbia,21044,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1345362.5189145117 556584.7907021128)
HH_Restaurants.97,Subway,8640 Guilford Rd,Columbia,21046,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1350653.88481414 547261.6849444518)
HH_Restaurants.98,Subway,5485 Harper's Farm Rd,Columbia,21044,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1343555.9037763258 566670.5789561432)
HH_Restaurants.99,Subway,"8305 Ice Crystal Dr, Ste 103",Laurel,20723,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1341331.6570486068 537971.064895566)
HH_Restaurants.100,Subway,"703 Lisbon Center Dr, Ste A",Woodbine,21797,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1293297.292979242 613569.1138741656)
HH_Restaurants.101,Subway,10300 Little Patuxent Pkwy,Columbia,21044,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1351893.0243727134 564206.055049025)
HH_Restaurants.102,Subway,7106 Minstrel Way,Columbia,21045,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1356731.6389976325 550385.8736047617)
HH_Restaurants.103,Subway,"7500 Montpelier Rd, Ste 110",Laurel,20723,6-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1342955.064495796 544090.9627012791)
HH_Restaurants.104,Subway,"6010 University Blvd, Ste 109",Ellicott City,21043,06-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1369807.868444278 561843.378228911)
HH_Restaurants.105,Subway,6240 Washington Blvd,Elkridge,21075,06-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1390222.9414362279 561978.5890168344)
HH_Restaurants.106,Subway,8610 Washington Blvd,Jessup,20794,06-Inch Oven Roasted Chicken Breast Sandwich on Wheat Bread w/ Sun Chips and 6-Inch Sweet Onion Chicken Teriyaki on Wheat Bread w/ Apple Slices,6-Inch Roast Beef Sandwich on Wheat Bread w/ Baked Lays and 6-Inch Turkey Breast on Wheat w/ Baked Lays and 6-inch Veggie Patty w/ Baked Lays (Vegetarian),POINT (1366534.1284579267 539137.3311074066)
HH_Restaurants.107,Sushi King,6490 Dobbin Rd,Columbia,21045,Sashimi Roll w/ Green Salad (w/ Ginger Dressing on the Side),Cooked Clear Seafood Roll and Mango Shrimp Salad,POINT (1363224.9761223593 555785.2325363032)
HH_Restaurants.108,TGI Friday's,8330 Benson Dr,Columbia,21045,,,POINT (1368430.8841213947 553617.7626329485)
HH_Restaurants.109,Taco Bell,"10300 Little Patuxent Pkwy, Ste 1340",Columbia,21044,2 Fresco Grilled Steak Soft Tacos,2 Fresco Chicken Soft Tacos and Fresco Bean Burrito,POINT (1351893.0243727134 564206.055049025)
HH_Restaurants.110,Taco Bell,7102 Minstrel Way,Columbia,21045,2 Fresco Grilled Steak Soft Tacos,2 Fresco Chicken Soft Tacos and Fresco Bean Burrito,POINT (1356852.50924744 549963.8520545798)
HH_Restaurants.111,Taco Bell,8620 Washington Blvd,Jessup,20794,2 Fresco Grilled Steak Soft Tacos,2 Fresco Chicken Soft Tacos and Fresco Bean Burrito,POINT (1366540.8597309205 538842.6184159905)
HH_Restaurants.112,Taco Bell/KFC,6281 Washington Blvd,Elkridge,21075,2 Fresco Grilled Steak Soft Tacos and 2 Fresco Chicken Soft Tacos,Grilled Chicken Breast w/ Green Beans Side and Fresco Bean Burrito,POINT (1390023.051894776 561338.2400904836)
HH_Restaurants.113,Ten Oaks Tavern,3900 Ten Oaks Rd,Glenelg,21737,Garden Salad w/ Seared Ahi Tuna (Dressing on the Side),Garden Salad w/ Grilled Chicken (Dressing on the Side) and Utilizes Ingredients from Local Farms/Markets,POINT (1316008.0227254324 581917.4976106232)
HH_Restaurants.114,Trattoria Amore,4725 Dorsey Hall Dr,Ellicott City,21042,"Lunch: Chicken Piccata w/ Salad, Chicken Marsala w/ Spaghetti, Shrimp alla Marinara w/ Broccoli and Spaghetti, Shrimp alla Fradiavolo w/ Broccoli and Spaghetti","Dinner: Chicken Piccata w/ Salad, Chicken Marsala w/ Spaghetti, Shrimp alla Marinara w/ Broccoli and Spaghetti, Shrimp alla Fradiavolo w/ Broccoli and Spaghetti",POINT (1356993.8659802675 573988.0580262985)
HH_Restaurants.115,Trattoria Montese,2470 Longstone Ln,Marriottsville,21104,"Lunch: Chicken Piccata w/ Salad, Chicken Marsala w/ Spaghetti, Shrimp alla Marinara w/ Broccoli and Spaghetti, Shrimp alla Fradiavolo w/ Broccoli and Spaghetti","Dinner: Chicken Piccata w/ Salad, Chicken Marsala w/ Spaghetti, Shrimp alla Marinara w/ Broccoli and Spaghetti, Shrimp alla Fradiavolo w/ Broccoli and Spaghetti",POINT (1341189.7149876931 598213.9095237313)
HH_Restaurants.116,Uno Chicago Grill,10300 Little Patuxent Pkwy,Columbia,21044,,,POINT (1351893.0243727134 564206.055049025)
HH_Restaurants.117,Upper Crust Pizzeria & Deli,8835 Centre Park Dr,Columbia,21045,Tuna Wrap Sandwich,Tuna Salad w/ Fat-Free Raspberry Vinaigrette,POINT (1364834.921023568 568732.9824680211)
HH_Restaurants.118,Vocelli Pizza,3355 St John‚??s Ln,Ellicott City,21042,Tuscan Grilled Chicken Salad (w/o Cheese) w/ Dressing on the Side,Grilled Chicken Caesar Salad w/ Dressing on the Side and Offers Healthy Substitutions,POINT (1361832.773269232 586802.9384824355)
HH_Restaurants.119,Wendy‚??s,8850 Gorman Rd,Laurel,20723,Ultimate Chicken Grill w/ Apple Slices and Grilled Chicken Go Wrap w/ Garden Side Salad,Garden Side Salad w/o Croutons and Small Chili,POINT (1363583.4895751823 533536.0339861078)
HH_Restaurants.120,Wendy‚??s,7311 Washington Blvd,Elkridge,21075,Ultimate Chicken Grill w/ Apple Slices and Grilled Chicken Go Wrap w/ Garden Side Salad,Garden Side Salad w/o Croutons and Small Chili,POINT (1379294.8660660884 552316.8709612803)
HH_Restaurants.121,Wendy‚??s,5801 Clarksville Square Dr,Clarksville,21029,Ultimate Chicken Grill w/ Apple Slices and Grilled Chicken Go Wrap w/ Garden Side Salad,Garden Side Salad w/o Croutons and Small Chili,POINT (1329853.3732774006 562751.5147547134)
HH_Restaurants.122,Wendy‚??s,6355 Dobbin Rd,Columbia,21045,Ultimate Chicken Grill w/ Apple Slices and Grilled Chicken Go Wrap w/ Garden Side Salad,Garden Side Salad w/o Croutons and Small Chili,POINT (1363458.814692813 557510.194406457)
HH_Restaurants.123,Wendy‚??s,9150 Old Annapolis Rd,Columbia,21045,Ultimate Chicken Grill w/ Apple Slices and Grilled Chicken Go Wrap w/ Garden Side Salad,Garden Side Salad w/o Croutons and Small Chili,POINT (1360470.7148125474 571062.8809153074)
